ID;Title;EpisodeTitle;Season;Episode;Year;EndYear;Budget (EUR);Gross (EUR);FilmingDays;Keywords;Language;Rating;Duration
828456;Game of Thrones;Mother's Mercy;5;10;2011;2011;9378334;;;apostrophe-in-episode-title*atonement*battle*child-abuser*confession*death-of-king*death-of-recurring-character*desertion*escape*female-full-frontal-nudity*hair-cut-off*jump-from-height*poison*punctuation-in-episode-title*stabbed-in-the-eye*suicide-by-hanging*throat-slitting*walk-of-shame;;8.8;
828457;Game of Thrones;No One;6;8;2011;2011;;;;actress*blood*blood-orange*boy-king*combat*crown*drinking*dwarf*faith*fantasy-world*fight*fire*forest*king*play*pyramid*queen*ship*sword*wine;English;8.3;
828458;Game of Thrones;Oathbreaker;6;3;2011;2011;;;;beheading*blind-girl*castle*cgi*council*drinking*eunuch*execution*fight*flashback*forest*hanged-boy*hanged-child*hanging*horse*king*seasickness*ship*sword*widow;English;8.7;
828459;Game of Thrones;Oathkeeper;4;4;2011;2011;8206042;;;abuse-against-women*brother-brother-relationship*cat*conspiracy*crucifixion*episode-title-spoken-by-character*female-knight*female-leader*female-nudity*freedom*hostage*kidnapping*kiss-on-the-forehead*loyalty*night-watch*one-word-episode-title*orphan*rape*revolution*slave*suit-of-armor*sword*title-spoken-by-character*training*undead*violence-against-women*volunteer;English;8.8;
828460;Game of Thrones;Second Sons;3;8;2011;2011;4689167;;;baby-name*bare-breasts*bare-butt*bare-chested-male*beach*breast-fondling*child-bride*cleavage*cloak*coitus*covered-female-frontal-nudity*cowgirl-sex-position*drinking-wine*drunkenness*female-frontal-nudity*female-nudity*female-rear-nudity*forced-marriage*forest*horse*learning-to-read*leech*mercenary*mirror*nudity*priestess*prison-cell*prisoner*protective-male*public-humiliation*raven*reading*reading-aloud*release-from-prison*ritual*rock*scantily-clad-female*severed-head*sex-scene*tied-to-a-bed*topless-female-nudity*two-word-episode-title*unconsummated-marriage*undead*undressing*wedding*wedding-ceremony*wedding-reception*wine*woman-in-bathtub*woman-on-top*woman-undressing-a-man*woman-undressing-for-a-man;English;9.0;
828461;Game of Thrones;Sons of the Harpy;5;4;2011;2011;7033750;;;abduction*carving-into-human-flesh*desert*famous-line*female-nudity*imprisonment*religious-sect*scorpion*snake;;8.7;
828462;Game of Thrones;The Bear and the Maiden Fair;3;7;2011;2011;4689167;;;amputee*animal-in-episode-title*bandit*bare-chested-male*bear*bear-attack*beard*bound-to-x-shaped-cross*bribe*campfire*candlelight*castration*cave*cleavage*crossbow*female-full-frontal-nudity*female-nudity*female-pubic-hair*female-rear-nudity*fondling*forest*heavy-rain*hunting*letter-writing*male-nudity*male-rear-nudity*night*ocean*passionate-kiss*pregnancy*priestess*pubic-hair*quarrel*quarrel-between-couple*rainy-night*sailing*secret-lair*shield*ship*soldier*spear*talking-about-sex*torture*windmill*wine-drinking*woman-grinding-a-man's-crotch*woman-undressing-a-woman*woman-undressing-for-a-man;English;8.7;
828463;Game of Thrones;The Broken Man;6;7;2011;2011;;;;allegiance*assassination*axe*beard*birds-singing*black*blood*body-armor*breast-kissing*bridge*cage*castle*cross*crown*crying*drinking*eating*faith*fantasy-world*fire*flag*forest*fort*fur*gods*horse*kingdom*kiss*knife*lady*laughing*lesbian*long-hair*priest*queen*resurrection*riding*rose*scar*snow*sparrow*swearing*sword*threat*treaty*water*wood;English;8.6;
828464;Game of Thrones;The Children;4;10;2011;2011;8206042;;;bare-butt*battle*box*breasts*burning-a-dead-body*cavalry*cave*coin*confession*crate*crossbow*death-by-strangulation*death-of-brother*death-of-father*death-of-lover*dungeon*escape*female-knight*female-nudity*fight*funeral-pyre*girl-dressed-as-boy*girl-riding-a-horse*hiding-in-a-crate*horse*horseback-riding*hugging*imax-version*incest*intrigue*iron*kiss*kiss-on-the-cheek*magic*magical-tree*murder*patricide*returning-character-killed-off*sailing-ship*ship*sitting-on-a-toilet*skeleton*snow*snowy-landscape*son-kills-father*squire*stabbed-to-death*stabbing*strangulation*surrender*sword*sword-fight*title-spoken-by-character*toilet*tree*two-word-episode-title*undead*waterfall*woman-bites-man*woman-biting-a-man's-ear*woman-fights-man*woman-in-a-bed*woman-in-pain*woman-naked-under-covers*woman-strangled-to-death*woman-warrior*woman-wearing-armour;English;9.6;
828465;Game of Thrones;The Climb;3;6;2011;2011;4689167;;;archery*campfire*cliff*climbing*climbing-a-wall*ends-with-a-kiss*fall-from-height*finger-cut-off*skinning-rabbit*torture*two-word-episode-title;English;8.7;
