ActorID;FirstName;LastName;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1282769;Megan;Parkinson;False;;;;
237283;Thomas;Brodie-Sangster;True;1990;London, England, UK;;
254883;Sam;Callis;True;1973;Sussex, England, UK;;
997944;Loni;Lindsey;False;;;;
1808129;Martin (III);Walsh;True;;;;
1078701;Vinnie;McCabe;True;;;;
330870;Iona;Clarke;False;;;;
1591374;Carolina;Silva Zimmer;False;;;;
222120;Anika;Bozic;False;;;;
450117;Suzanne;Devoyod;False;;;;
1410279;Paul;Rattray;True;;;;
1905819;Miltos;Yerolemou;True;;;;
1466531;Struan;Rodger;True;1946;England, UK;;
1617968;Jasmine (VI);Smith;True;;;;
1477170;Heidi;Romanova;False;;;;
681737;Chelsey Colleen;Hankins;False;;;;
963346;Jorge;Laurentino;True;;;;
1479704;Peter (II);Rooney;True;;;;
509181;Orri P.;Dyrason;True;1977;Iceland;;
1934738;The;Zoppes;True;;;;
1547824;Matthew;Scurfield;True;1948;England, UK;;
1094693;Tim;McInnerny;True;1956;Cheadle Hulme, Cheshire, England, UK;;
447762;Maria;DeSisto;False;;;;
486271;Sandra;Fayard;False;;;;
991799;Sam;Liebert;True;;;;
1240614;Jack;Olohan;True;;;;
726608;Ella (II);Hughes;False;1995;Southampton, England, UK;;
1657515;Hsin-chang;Tang;True;;;;
972419;Fergus;Leathem;True;;;;
485635;Margaux;Faure;False;;;;
1224145;Jer;O'Leary;True;;;;
232388;Peteris;Briedis;True;;;;
1754420;Jimmy;Vanbrunt;True;;;;
1457715;Luke (I);Roberts;True;1977;Suffolk, England, UK;;
991926;Michael (I);Liebmann;True;1969;Michigan, USA;;
681737;Michelle;Heredia;False;;;;
506493;Dijana;Dvornik;False;;;;
1045867;Sarah;MacKeever;False;;;;
847497;Irene;Kelleher;False;;;;
1492173;Philippe (IV);Roy;True;;;;
1500814;Clive;Russell;True;1945;Hampshire, England, UK;;
487583;P.K.;Doyle;True;;;;
1938912;Ragnar;rhallsson;True;;;;
1083613;Stephan (I);May;True;;;;
1225632;'Doc';Newman;True;;;;
521220;Kanita Ita;Focak;False;;;;
1754420;Indira;Varma;False;1973;Bath, Somerset, England, UK;;
1082024;Daniel (III);Martin;True;;;;
347925;Fred;Confalonieri;True;;;1994;Rio de Janeiro, RJ, Brazil
481372;Telmo;Faria;True;;;;
853796;Andy;Kellegher;True;;;;
195521;James;Bleakney;True;;;;
719903;Hailley;Howard;False;;;;
445003;Matteo;Elezi;True;;;;
711234;Alex (III);Holland;True;;;;
1365134;Laura;Pradelska;False;;;;
1079388;Regina Shanygne;Marshall;False;;;;
1059312;Gordon (II);Mahon;True;;;;
59232;Jacob (II);Anderson;True;1990;London, England, UK;;
1283366;Art;Parkinson;True;2001;Moville, County Donegal, Ireland;;
675549;Jessica;Henwick;False;1992;England, UK;;
1797495;Michael;Waelter;True;;;;
1903266;Sabrina;Yep;False;;;;
1669615;Owen;Teale;True;1961;Swansea, West Glamorgan, Wales, UK;;
716960;Derek;Horsham;True;;;;
