ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3248555;K-PAX;2001;2001;Drama*Mystery*Sci-Fi;64223649;50693921;138;English;Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA	*Arvin, California, USA*Bakersfield, California, USA*Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA*Grand Central Station, Manhattan, New York City, New York, USA*Kernville, California, USA*Los Angeles, California, USA*Red Rock Canyon State Park - Highway 14, Cantil, California, USA*Sierra Madre, California, USA*Stage 29, Universal Studios - 100 Universal City Plaza, Universal City, California, USA;USA*Germany;7.4;
3248556;K-Pop 2004;2003;2003;Adult;;;;English;;USA;;
3248558;K-Popular;2018;2018;Comedy*Drama*Music;;;;;Los Angeles, California, USA*Seoul, South Korea;USA;;
3248560;K-Run FM;2010;2010;Comedy*Short;;;;English;;USA;;
3248561;K-Shop;2016;2016;Thriller;;;;English;Bournemouth, Dorset, England, UK*7 Gervis Pl, Bournemouth BH1 2AL;UK;6.0;
3248562;K-Stars;2013;2013;Comedy*Short;47223;;;English;Los Angeles, California, USA;USA;;
3248563;K-Swiss Project;2011;2011;Horror*Short;;;;English;Switzerland;UK;;
3248564;K-Town;2007;2007;Documentary;;;;English;;USA;;
3248565;K-Town;2009;2009;Comedy*Drama;4722;;;English;;USA;7.3;89
3248567;K-yotic;2013;2013;Music*Short;;;;English;Los Angeles, California, USA;USA;;
3248568;K-Z;1972;1972;Documentary*Short;;;;;;Italy;;
3248569;K.;1989;1989;Short;;;;;;UK;;
3248570;K.;2003;2003;Short;;;;None;;France;;9
3248571;K.;2011;2011;Drama*Horror*Short*Thriller;;;;Italian;;Italy;;
3248572;K. Flay: Cops;2013;2013;Music*Short;472;;;English;;USA;;
3248573;K. Il bandito;2008;2008;Drama;;;;Italian;Rome, Lazio, Italy*Venice, Veneto, Italy;Italy*Argentina;7.2;
3248574;K. Kavafis;1983;1983;Biography;3522;;;Greek;;Greece;;60
3248575;K. P. Kavafis: 50 hronia apo ton thanato tou;1983;1983;Biography*Documentary;;;;Greek;;Greece;;
3248576;K. und k. Feldmarschall;1956;1956;Comedy;;;;German;;Austria;4.5;
3248577;K.3;2004;2004;Short;;;;;;France;3.7;5
3248578;K.364: A Journey by Train;2010;2010;Documentary;200;;;English*Hebrew;Germany*Poland;UK;;68
3248579;K.491... In Preparation;1983;1983;Documentary;;;;English;;UK;;
3248583;K.B.S.B.;2016;2016;Short;944;;;English;Jupiter, Florida, USA;USA;;
3248584;K.C.;2010;2010;Comedy*Short;;;;English;;USA;;
3248585;K.C. Munchkin;1981;1981;Family;;;;None;;USA;5.4;
3248586;K.C.'s Krazy Chase;1982;1982;Adventure*Family;;;;None;;USA;;
3248587;K.C.I.: Beyond the Three R's;1982;1982;Documentary*Short;;;;English;Kitchener, Ontario, Canada;Canada;;
3248589;K.D. Lang Talks with Percy Adlon About 'Percy Adlon's Salmonberries': 11 Years Later;2001;2001;Documentary*Short;;;;English*German;;USA;;
3248590;K.D. Lang: Miss Chatelaine;1992;1992;Music*Short;70835;;;English;New York City, New York, USA;USA;;
3248591;K.F.G.S. VII;2012;2012;Comedy*Short;189;;;English;;USA;;
3248592;K.G.;2011;2011;Action;;;;Japanese;;Japan;5.2;
3248593;K.G.A.G.P.;2013;2013;Comedy*Short;;;;English;;USA;;
3248594;K.H-4;1969;1969;Drama*Short;;;;English;;UK;5.9;
3248595;K.H.S. Ultimate;2016;2016;Action*Comedy*Fantasy*Short;;;;English;;USA;;
3248596;K.I.L. 1;1962;1962;Crime*Drama;;;;English;;UK;;
3248597;K.I.L.L;2016;2016;Comedy*Short;2000;;;English;Dublin, County Dublin, Ireland;Ireland;;
3248598;K.I.L.L. - Kinetic Image Laboratory/Lobotomy;1999;1999;Short;25;;;German;Frankfurt am Main, Hessen, Germany;Germany;7.7;
3248599;K.I.N.O.;1968;1968;Drama*Short;;;;German;;West Germany;;11
3248600;K.I.P, Evil's Release;2014;2014;Adventure*Animation*Fantasy*Short;;;;English;;USA;;
3248601;K.I.P.;2001;2001;Short;;;;English;;USA;;4
3248602;K.I.S.S.;2009;2009;Drama*Short;;;;English;;Canada*USA;;
3248603;K.I.T.;2013;2013;Comedy*Short;;;;English;;USA;6.9;
3248604;K.I.Z. - Boom Boom Boom;2015;2015;Music*Short;;;;German;;Germany;;
3248605;K.K. Steincke;1932;1932;Documentary;;;;Danish;;Denmark;;
3248608;K.L menjerit 1;2005;2005;Action;338632;;;Malay;Merdeka Square, Jalan Raja, Kuala Lumpur, Malaysia*Serdang, Kuala Lumpur, Malaysia*Shah Alam, Selangor, Malaysia*Universiti Putra Malaysia, Serdang, Kuala Lumpur, Malaysia;Malaysia;5.1;
3248611;K.O.;1968;1968;Comedy;;;;Romanian;Romania*Buftea, Ilfov, Romania;Romania;7.9;
3248612;K.O.;1978;1978;Drama;;;;Hungarian;;Hungary;8.3;
3248613;K.O.;1990;1990;Adult;;;;English;;USA;;
3248614;K.O.;2005;2005;Drama*Short;;;1;Spanish;;Spain;;14
3248615;K.O.;2011;2011;Drama*Short*Sport;;;;English;;USA;8.6;
3248616;K.O.;2013;2013;Short;189;;;English;Stoughton Media Access Corp - Stoughton, Massachusetts, USA*Boston Boxing, Alston, Massachusetts, USA;USA;;
3248617;K.O. for Cupid;1924;1924;Drama*Short*Sport;;;;English;;USA;;
3248618;K.O. Suzette;1969;1969;Drama;;;;English;;USA;;
3248620;K.O.B.R.A;2012;2012;Documentary*Drama*Family*Short;;;;Persian;;Iran;;
3248621;K.O.K.;1988;1988;Short;;;;French;;France;7.8;
3248622;K.O.R.;2010;2010;Documentary;;;;Polish;;Belgium*Poland*France;;55
3248623;K.O.videos;2015;2015;Short;;;;Italian;;Italy;;17
3248624;K.Rich: Las' Lap & Go Down;2014;2014;Music*Short;;;;English;Diego Martin, Trinidad & Tobago	*Point Lisas, Trinidad & Tobago;Trinidad and Tobago;;
3248625;K.Rich: Nothing Less;2012;2012;Music*Short;;;;English;Port of Spain, Trinidad & Tobago;Trinidad and Tobago;;
3248626;K.S.E. - Komsomol Shef Elektrifikatsii;1932;1932;Documentary;;;;Russian;;Soviet Union;;
3248628;K.U.N.T. T.V.;1988;1988;Adult;;;;English;;USA;;85
3248629;K.V.;2012;2012;Action*Horror*Short;;;;English;;Australia;;
3248630;K.Y.D;2017;2017;Drama*Short;;;;Swedish;Lysekil, Vstra Gtalands ln, Sweden;Sweden;;
3248631;K.Y.E.: Kill Your Enemy;2007;2007;Comedy;70835;;;English;;USA;4.4;90
3248632;K.Y.T.E.S: How We Dream Ourselves;1986;1986;Documentary;;;;English;Toronto, Ontario, Canada*Kingston Prison for Women, Kingston, Ontario, Canada*Theatre Passe Muraille, Toronto, Ontario, Canada;Canada;;
3248633;K/rper;1967;1967;Short;;;;German;;West Germany;;
3248634;K11 - Zpoved sexulnho turisty;2009;2009;Documentary*Short;;;;German;;Austria;;
3248635;K19: Breaching the Hull;2002;2002;Short;;;;English;;USA;;
3248636;K2;1991;1991;Action*Adventure*Drama*Thriller;;2934038;152;English;Pakistan*Canada*British Columbia, Canada*Kashmir, Pakistan;UK*Japan*USA;6.2;111
3248638;K2 - La montagna degli italiani;2012;2012;Drama;;;;Italian;Tyrol, Austria;Italy;4.9;
3248639;K2 - lo spigolo nord;1984;1984;Documentary*Short;;;;Italian;;Italy;;
3248640;K2 and the Invisible Footmen;2015;2015;Documentary;;;;English*Urdu;Pakistan;USA;8.7;
3248641;K2 Mountain of Mountains;2014;2014;Documentary*Short;;;;Turkish;Pakistan;Turkey;;32
3248642;K2 secret;2000;2000;Sci-Fi*Short;;;;Norwegian;;Norway;;9
3248643;K2 weer K3;2010;2010;Family*Music;;;;Dutch;;Belgium;;
3248644;K2. Dotknac nieba;2015;2015;Documentary*Family*Sport;;;;English;;Poland*Germany*UK*China*Pakistan;5.7;
3248645;K2: Siren of the Himalayas;2012;2012;Documentary;198338;6072;;English;Pakistan;USA;7.3;
3248646;K2: Surviving the Mountain;2001;2001;Documentary;;;;English;;USA;;
