ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3897715;Uma Rua Chamada Triumpho 1969/70;1971;1971;Documentary*Short;;;;Portuguese;;Brazil;7.5;
3897716;Uma Rusga aos Passarinhos;1933;1933;Documentary;;;;;;Portugal;;
3897717;Uma Salva de Artilharia na Serra do Pilar;1896;1896;Documentary*Short;;;;;;Portugal;;
3897718;Uma Semana em Madrid;1960;1960;Adventure;;;;Portuguese;Lisbon, Portugal;Portugal;;
3897719;Uma Tarde em Alccer;1933;1933;Documentary*Short;;;;Portuguese;;Portugal;;
3897720;Uma Tarde Outra Tarde;1974;1974;Drama;;;;Portuguese;;Brazil;7.4;87
3897721;Uma Tiraha;2015;2015;Drama*Short*Sport;;;;French;;France;;
3897723;Uma to onna to inu;1990;1990;Drama*Horror;;;;Japanese;;Japan;6.0;
3897724;Uma Tourada  Antiga Portuguesa;1901;1901;Documentary*Short;;;;;;Portugal;;
3897725;Uma Transa das Arbias;2005;2005;Adult;;;;;Brazil;;;
3897726;Uma Transformista Original;1915;1915;Drama;;;;;;Brazil;;
3897727;Uma Verdadeira Histria de Amor;1971;1971;Drama;;;;Portuguese;;Brazil;6.1;
3897728;Uma Viagem de Gnova ao Rio da Prata;1908;1908;Documentary*Short;;;;Portuguese;;Brazil;;
3897729;Uma Viagem de Npcias Que Acaba Mal;1899;1899;Short;;;;Portuguese;;Brazil;;
3897730;Uma Viagem na Nossa Terra;1982;1982;Drama;;;;Portuguese;;Portugal;;
3897731;Uma Vida;2016;2016;Biography*Comedy*Drama*Family*Romance*Short;2833;;;English;New York, USA;USA*Brazil;;
3897732;Uma Vida em Segredo;2001;2001;Drama;;;;Portuguese;;Brazil;6.6;102
3897733;Uma vida feita de outras;2012;2012;Drama*Mystery*Romance*Short;;;;Portuguese;;Brazil;;
3897734;Uma Vida Inteira;2012;2012;Drama*Romance*Short;;;;Portuguese;;Brazil;6.3;
3897735;Uma Vida Mais Simples;2014;2014;Documentary*Short;;;;Portuguese;;Portugal;;
3897736;Uma Vida Normal;1994;1994;Comedy*Drama;;;;Portuguese;Lisbon, Portugal;Portugal*Spain;6.3;110
3897737;Uma Vida Nova;2006;2006;Documentary*Short;;;;Portuguese;;Portugal;;
3897738;Uma Vida para Dois;1949;1949;Crime*Drama;;;;Portuguese;Lisboa Filme, Lisbon, Portugal;Portugal;;97
3897739;Uma Vida para Dois;1953;1953;Drama;;;;Portuguese;;Brazil;;97
3897740;Uma Vida Preciosa Que se Extinguiu;1933;1933;Documentary*Short;;;;Portuguese;;Brazil;;
3897741;Uma Vida Sublime;2017;2017;Drama;;;;Portuguese;;Portugal;;
3897742;Uma Vida  Espera;2016;2016;Drama;;;;;Lisboa, Portugal;Portugal;;
3897743;Uma Vila Ribatejana;1937;1937;Documentary;;;;;;Portugal;;
3897745;Uma Vindima no Douro;1936;1936;Documentary;;;;;;Portugal;;
3897746;Uma Visita aos Jernimos;1929;1929;Documentary;;;;;;Portugal;;
3897747;Uma Visita Inoportuna;1996;1996;Drama;;;;Portuguese;;Portugal;;
3897748;Uma Visita Para Elizabeth Teixeira;2011;2011;Documentary*Short;;;;Portuguese;Paraba, Brazil;Brazil;;13
3897749;Uma Visita  Fbrica de Conservas de Carlos da Costa Frescata;1953;1953;Documentary;;;;;;Portugal;;
3897750;Uma volta, pelo parque;2016;2016;Adventure;1500;;;Portuguese;Coimbra, Portugal;Portugal;;
3897751;Uma Vontade Maior;1967;1967;Drama;;;;Portuguese;Angola;Portugal;;135
3897752;Uma Voz na Noite;1998;1998;Short;;;;Portuguese;;Portugal;6.0;
3897753;Uma X Flamengo;1980;1980;Documentary;;;;Portuguese;;Brazil;;87
3897754;Uma, duas Semanas;2012;2012;Drama*Short;;;;Portuguese;;Brazil;;
3897755;Umaalong Ginto;1956;1956;Drama;;;;Filipino*Tagalog;;Philippines;;
3897756;Umaapoy na Bakal;1962;1962;Action*Drama;;;;Filipino*Tagalog;;Philippines;;
3897759;Umachandi Gauri Shankarula Katha;1968;1968;Drama*Musical;;;;Telugu;;India;;
3897760;Umaga;2012;2012;Documentary*Drama*Short;;;;Tagalog;;USA;;
3897761;Umaga ng Neneng;1950;1950;Comedy*Romance;;;;Filipino*Tagalog;;Philippines;;
3897762;Umagashira Matagor;1914;1914;Short;;;;Japanese;;Japan;;
3897763;Umagoya no reij;1991;1991;Drama;;;;Japanese;;Japan;6.3;
3897764;Umaid Bhawan Palace, Jodhpur;2011;2011;Documentary*Short;;;;English;;India;;
3897769;uMalusi;2008;2008;Crime;;;;Xhosa*English;;South Africa;;
3897770;Umami;2011;2011;Short;;;;Spanish;;Spain;;
3897771;Umami;2016;2016;Drama*Short;;;;English;;USA;;
3897772;Umami;2017;2017;Drama*Short;472;;;English*Chinese;Chicago, Illinois, USA;USA;;
3897773;Umami no sekai;1985;1985;Documentary*Short;;;;Japanese;;Japan;;
3897774;Umami to seimei;1968;1968;Documentary*Short;;;;Japanese;;Japan;;
3897775;Umami vs Robot;2014;2014;Comedy*Short;;;;Spanish;;Spain;;
3897776;Uman;1998;1998;Documentary*Short;;;;Hebrew;;Israel;;
3897777;Uman Memory Archiv;2014;2014;History*Mystery*Short;;;;French;;Canada;;
3897779;Umang;1970;1970;Drama*Family;;;;Hindi;;India;4.4;
3897780;Umang;2010;2010;Family;;;;Marathi;;India;;
3897781;Umanit;1919;1919;Short;;;;Italian;;Italy;;
3897783;Umano non umano;1972;1972;Documentary;;;;Italian;;Italy;4.8;
3897784;Umanut;2012;2012;Biography*Documentary;;;;Czech;;Czech Republic;;
3897785;Umanza;2007;2007;Drama*Short;;;;Italian;;Italy;;
3897786;Umar;2006;2006;Crime*Drama*Musical;;;;Hindi;;India;5.6;
3897787;Umar 55 Ki Dil Bachpan Ka;1992;1992;Comedy*Drama*Romance;;;;Hindi;;India;4.0;
3897788;Umar Amir;2013;2013;Comedy*Drama*Short;;;;Indonesian;;Indonesia;;
3897790;Umar Qaid;1975;1975;Action*Thriller;;;;Hindi;;India;6.1;
3897795;Umareru;2010;2010;Documentary;;;;Japanese;;Japan;;
3897796;Umaretsuki ikemen desu;2008;2008;Comedy*Short;;;;Japanese;;Japan;;40
3897797;Umarla klasa;1977;1977;Documentary;;;;Polish*German;Krakw, Malopolskie, Poland*Main Market Square, Krakw, Malopolskie, Poland;Poland;8.5;
3897799;Umarli rzucaja cien;1979;1979;Drama*Thriller*War;;;;Polish*German;Poland;Poland;5.5;
3897800;Umarmungen und andere Sachen;1975;1975;Comedy*Crime*Drama;;;;French;;West Germany*France;4.7;
3897801;Umaru and the Phantom Killer;2016;2016;Short;;;;English;;USA;;
3897802;Umasa Ka Maghal Ko: sa Bilisan;1961;1961;Action*Drama;;;;Filipino*Tagalog;;Philippines;;
3897805;Umataro;1965;1965;Family;;;;Dutch;;Belgium;;
3897806;Umatilla;2004;2004;Documentary;18889;;;English;Hermiston, Oregon, USA*Umatilla, Oregon, USA;USA;;52
3897808;UMATURKA: The Call of the Water;2016;2016;Documentary;;;;Spanish;;Bolivia*UK;;
3897810;Umazurabeya;2006;2006;Short;;;;Japanese;;Japan;;
3897811;Umba;2014;2014;Drama*Horror*Music*Short;;;;English;;USA;;
3897812;Umbabarauma;1989;1989;Animation*Short;;;;Portuguese;;UK;8.3;
3897813;Umbango;1986;1986;Western;;;;Zulu;South Africa;South Africa;;68
3897814;Umbara Point;2014;2014;Thriller;9445;;;English;Lagos, Nigeria;Nigeria;;
3897815;Umbartha;1982;1982;Drama;;;;Marathi*Hindi;;India;7.8;135
3897816;Umbday Ondblay;2008;2008;Comedy*Short;;;;English;San Diego, California, USA;USA;;11
3897817;Umberto;1986;1986;Drama;;;;Hindi;;India;;
3897818;Umberto;2008;2008;Horror*Short*Thriller;;;;English;;USA;;
3897820;Umberto D.;1952;1952;Drama;;70236;;Italian;Cinecitt Studios, Cinecitt, Rome, Lazio, Italy	*The Pantheon, Piazza della Rotonda, Rome, Lazio, Italy;Italy;8.2;
3897821;Umberto D.;2017;2017;Drama;5666793;;;;Brooklyn, New York City, New York, USA;;;
3897822;Umberto E;2011;2011;Documentary;;;;English;;USA;;
3897823;Umberto e Margherita di Savoia a passeggio per il parco;1896;1896;Documentary*Short;;;;Italian;;Italy;;
3897824;Umberto Saba e gli umani animali;1966;1966;Documentary*Short;;;;Italian;;Italy;;11
3897825;Umberto's Clam House;2015;2015;Documentary*Short;;;;English;;USA;;
3897826;Umbilical;2007;2007;Drama;20778;;;English;Los Angeles, California, USA;USA;;
3897827;Umbilical;2008;2008;Animation*Short;;;;;;UK;;
3897828;Umbilical;2009;2009;Fantasy*Horror*Short*Thriller;;;;English;;USA;;
3897831;Umbilical;2015;2015;Short;1832;;;English;;Australia;;
3897832;Umbilical Cord;2016;2016;Comedy*Drama;;;;Hebrew;;Israel;;
3897833;Umbkotid;2012;2012;Comedy;;;;Estonian;;Estonia;6.2;
3897834;Umbo et Samuel;1995;1995;Short;;;;French;;Switzerland;;
3897835;Umbra;1982;1982;Drama*Short;35790;;;German;Berlin, Germany*France;West Germany;;
3897836;Umbra;2008;2008;Short*Horror*Sci-Fi*Thriller;;;;Polish;Warsaw, Mazowieckie, Poland;Poland;;19
3897837;Umbra;2008;2008;Short*Horror*Sci-Fi*Thriller;;;;;Warsaw, Mazowieckie, Poland;Poland;;
3897838;Umbra;2010;2010;Adventure*Animation*Drama*Fantasy*Short*Mystery;;;1;;Shrewsbury, Massachusetts, USA;Canada*USA;7.1;4
3897839;Umbra;2010;2010;Adventure*Animation*Drama*Fantasy*Short*Mystery;;;;;Shrewsbury, Massachusetts, USA;Canada*USA;;
3897843;Umbra;2016;2016;Drama;94447;;;English;;USA;;
3897846;Umbra and Eidolon in Wraith: A Grain in Quietude - Invasion of Necrosis - The Elixir of Mandalenton;2017;2017;Adventure*Comedy*Crime*Drama*Fantasy*Horror*Sci-Fi*War;;;;English;Ustaoset, Buskerud, Norway*Skurdalen, Buskerud, Norway*Geilo, Buskerud, Norway*Hallingskarvet, Buskerud, Norway;Norway;;
3897847;Umbra/Shadow;2015;2015;Drama*Fantasy*Mystery*Short;;;;;;Poland;;
3897849;Umbrage;2009;2009;Horror*Western;87922;;;English;London, England, UK;UK;3.1;90
3897850;Umbrageous;2016;2016;Action*Adventure*Drama*Fantasy*Sci-Fi*Short;7021;;;English;;Canada;;
3897851;Umbral;1982;1982;Documentary*Short;;;;Spanish;Mexico;Mexico;;26
3897852;Umbral;2012;2012;Drama*Short;;;;Spanish;;Chile;;
3897853;Umbral;2016;2016;Documentary;;;;Spanish;;Argentina;;
3897854;Umbrales;1989;1989;Drama*Short;;;;Spanish;Mexico;Mexico;;
3897855;Umbrales;2004;2004;Mystery*Short;;;;Spanish;Madrid, Spain;Spain;;20
3897856;Umbras;2014;2014;Animation*Drama*Fantasy*Short;;;;English;;UK;;
3897858;Umbrella;2006;2006;Drama*Short;;;;English;;USA;;
3897859;Umbrella;2007;2007;Short;;;;English;;USA;;
3897862;Umbrella;2009;2009;Drama*Romance*Short;;;;;;USA;;
3897863;Umbrella;2010;2010;Drama*Short;;;;English;;USA;;
3897864;Umbrella;2011;2011;Drama*Short;;;;English;;USA;;
3897867;Umbrella;2014;2014;Drama*Romance*Short;;;;Korean;;South Korea;;
3897868;Umbrella;2015;2015;Comedy*Short;;;;German;;;;
3897869;Umbrella;2016;2016;Drama;17584;;;English;Somerset, England, UK*Club Neo, Yeovil, Somerset, England, UK*Yeovil District Hospital, Yeovil, Somerset, England, UK;UK;4.9;
3897871;Umbrella Brigade;1897;1897;Documentary*Short;;;;;;USA;;
3897872;Umbrella Brigade;1903;1903;Documentary*Short;;;;;;USA;;
3897873;umbrella city;2015;2015;Documentary;;;;;;;;
3897874;Umbrella Dance;1895;1895;Short;;;;;Black Maria Studio, West Orange, New Jersey, USA;USA;4.2;
3897875;Umbrella Dance;1903;1903;Short;;;;;;USA;;
3897876;Umbrella Dreams;2010;2010;Short;;;;German;Berlin, Germany;Germany;;
3897877;Umbrella Dreams;2014;2014;Documentary*History*News*Short;;;;English;;Hong Kong;;
3897878;Umbrella Girl;2011;2011;Animation*Comedy*Fantasy*Romance*Short;;;;Japanese;;USA;;
3897879;Umbrella Girl;2013;2013;Adventure*Animation*Comedy*Fantasy*Short;;;;English;;;;
3897880;Umbrella Memories;2015;2015;Documentary;;;;Cantonese;;Hong Kong;;
3897881;Umbrella of Damocles;2013;2013;Comedy*Family*Fantasy*Short;;;;English;;Canada;;
3897882;Umbrella Revolution: History as Mirror Reflection;2015;2015;Documentary*History*News;;;;Cantonese;;Canada*Hong Kong;;
3897883;Umbrella Rod;2009;2009;Short*Thriller;;;;English;;Canada;;
3897884;Umbrellas;1994;1994;Documentary;;;;;California, USA*Ibaraki, Japan;USA;8.1;90
3897885;Umbrellas;2006;2006;Short;1889;;;English;Dana Point, California, USA	*Laguna Niguel, California, USA;USA;6.8;5:59
3897886;Umbrellas;2010;2010;Drama*Short;;;;English;San Francisco, California, USA;USA;;
3897887;Umbrellas Kill;2015;2015;Comedy*Documentary*Short;4722;;;English;Manhattan, New York City, New York, USA*Long Island, New York, USA;USA;;
3897888;Umbrellas Move;2016;2016;Documentary*History;;;;Cantonese;;Hong Kong;;
3897889;Umbrellas to Mend;1912;1912;Comedy*Short;;;;English;;USA;;
3897890;Umbria Jazz '94: Joe Zawinul & Trilok Gurtu;1994;1994;Music;;;;None;Perugia, Umbria, Italy;Italy;;
3897891;Umbria: the short films;2014;2014;Documentary*History*Music*Short;;;;;;Italy;;
3897895;Umchi keulreonik;2012;2012;Comedy*Romance;;;;Korean;Seoul, South Korea;South Korea;5.9;
3897896;Umdeinleben;2009;2009;Drama;;;;German;Berlin, Germany;Germany;5.6;90
