ActorID,FirstName,LastName,IsMale,BirthYear,BirthLocation,DeathYear,DeathLocation
1183394,Arvo,Korsimo,True,,,,
483713,Barbara,Hagihara,False,,,,
2356871,Noel,Welch,True,,,,
635039,Samantha (II),King,False,,,,
1471038,Ty,Metzger,True,,,,
1316116,Kathryn (III),White,False,,,,
1099983,Roman,Kalinowski,True,,,,
2379861,John (VIII),Wilkinson,True,,,,
2074372,Zuzu,Snyder,True,,,,
864107,Eric,Gurian,True,,,,
160714,Brianna,Buckley,False,,,,
1355121,Docka,Za Kablokowa,False,,,,
1721280,Winston,Peters,True,,,,
871688,Hulki,Gnay,True,,,,
2098370,Daniel,St.James,True,,,,
1650360,Rick (III),Orr,True,,,,
1591231,Tommy,Newsom,True,1929,Portsmouth - Virginia - USA,2007,Portsmouth - Virginia - USA
480886,Glnur,Gngren,False,,,,
424958,Marianne,Garvey,False,,,,
271802,Maria,Damoisaux,False,,,,
1039723,Philipp,Jakobi,True,,,,
432540,Tanya Marie,German-Clark,False,,,,
1366124,Matthew,Mancuso,True,,,,
59527,Abla,Ayadi,False,,,,
2275616,Dick,Van Newkirk,True,,,,
76414,Catherine (I),Barker,False,,,,
544215,Ashley (I),Howell,False,,,,
1911473,Richard,Rupp,True,,,,
463910,Ilana,Greenberg,False,,,,
1308985,Nina,Weithorn,False,,,,
2248468,Trever (II),Turner,True,,,,
1150690,Kira Shea,Smithson,False,,,,
853173,Ebony,Morgan,False,,,,
188814,Delphine,Caron,False,,,,
892856,Kathryn,Hanke,True,,,,
1445320,Jeff,McMahen,True,,,,
1247963,Florent,Lazare,True,,,,
3327,Gina,Abrial,False,,,,
402268,Carin (II),Franzen,False,,,,
2338463,Jerry Gyro,Wardlow,True,,,,
1689003,Patrick (I),Pasin,True,,,,
2165544,Tim,Tallent,True,,,,
11566,Kyle,Adamonis,True,,,,
689221,Slvio de Campos,Filho,True,,,,
1116633,Shulamith,Shahar,False,,,,
1958393,Stphane (II),Saunier,True,,,,
318614,Sergio,Calais,True,,,,
270932,Kent,Brockwell,True,,,,
202340,Tina,Cernero,False,,,,
126432,Christy,Boland,False,,,,
1480794,George D.,Miklos,True,,,,
1402496,Paul (II),Maslin,True,,,,
933896,Saar,Hendelman,True,,,,
759151,Joji,Garcia,True,,,,
1345935,Tate,MacQueen,True,,,,
116030,Greta,Bjerke,False,1910,Stockholm - Stockholms ln - Sweden,1991,Danderyd - Stockholms ln - Sweden
1140383,Harimander Singh,Khalsa,True,,,,
937441,Aaron (XIII),Henry,True,,,,
1939600,Oliver (II),Samuels,True,,,,
1243400,Jeff,Lavallee,True,,,,
1774252,Josh (I),Prince,True,,,,
783098,Josh,Getlin,True,,,,
2280530,Victor,Vaquero,True,,,,
841154,Fabienae,Molire,False,,,,
1302034,Brbara,Wasserman,False,,,,
275359,Renata,Darlen,False,,,,
2039624,Wheaton (II),Simis,True,,,,
739927,Salome Martinez,Lutz,False,,,,
1605923,Katsuhiko,Nobue,True,,,,
155214,Paulette K.,Brown,False,,,,
1354247,Manaka,Yumi,False,,,,
1358598,Justina,Zatzman,False,,,,
2060089,Ethel,Smerton,True,,,,
596549,Slawomir,Duda-Dzianowski,True,,,,
489920,Armin,Dahncke,True,,,,
1022996,Lita,Rey,False,,,,
1161889,LuAnn,Speikers,False,,,,
188105,Len,Bernard,True,,,,
1442714,Ray (I),McKinney,True,,,,
1329618,Lisa Ann,Wimpee,False,,,,
2087077,Blaine,Souza,True,,,,
1858281,Roberto (III),Rivera,True,,,,
462541,William (I),Crane,True,1886,Brooklyn - New York - USA,1957,Scranton - Pennsylvania - USA
1359971,Grzegorz,Malecki,True,1975,Warsaw - Mazowieckie - Poland,,
302175,Matthew (V),Burns,True,,,,
2449523,Caroline,Zeller,True,,,,
2446125,Eve,Zappulla,True,,,,
410390,Virginia,Fuller,False,,,,
581545,Rosene,Jerez,False,,,,
2281016,Lino,Varela,True,,,,
1264903,Pereira,Leite,True,,,,
1773273,Aaron,Priest,True,,,,
264196,Liz (V),Curtis,False,,,,
2397876,Robert (V),Winter,True,,,,
1184037,Michael,Koschukewicz,True,,,,
262891,John (XXXIII),Brennan,True,,,,
1966883,Jared,Scheideman,True,,,,
53755,Isabel,Assuncao,False,,,,
1020310,Marie-Therese,Renaud,False,,,,
1730843,John Taylor,Phillips,True,,,,
1233229,Yumiko,Tomokura,False,,,,
1752845,Maria,Politano,True,,,,
720636,Yao (I),Liu,False,,,,
81870,Jose,Ariana,True,,,,
634394,Armand,Eloi,True,,,,
574869,Alicja,Janosz,False,1985,Pszczyna - Slaskie - Poland,,
2416132,Jingan,Wu,True,,,,
2157025,Jos (XXVIII),Snchez,True,,,,
231565,Ashley,Coda,False,1984,California - USA,,
936783,Julia Carolynn,Henninger,True,,,,
1050368,Adam (I),Jay,True,,,,
524187,Debut,de Roseville,True,,,,
1045239,Daphne (I),Rogers,False,,,,
470476,R.C.,Crowe,True,,,,
423534,Bill (III),Cole,True,,,,
1639628,Wilson,Oliveira,True,,,,
221403,Teresa,Chuc,False,,,,
1067127,Lisa Dean,Ryan,False,1972,Phoenix - Arizona - USA,,
848249,Joe (III),Grimes,True,,,,
2101513,Craig (II),Standen,True,,,,
1040352,Helena,Roca,False,,,,
408275,Claudia,Frraut,False,,,,
2358671,William (XIII),Wells,True,,,,
995314,Cruz,Prez,False,,,,
1332594,Vicki,Withers,False,,,,
1293892,Marc,Linsalata,True,,,,
340208,Chrysty,Earp,False,,,,
824673,Lorenzo,Gottarelli,True,,,,
796917,Israel,Giraldo,True,,,,
1596145,Lynn,Nickerson,True,1948,Akron - Ohio - USA,,
1900077,Laura,Roura,True,,,,
472243,Eric (II),Cruz,True,,,,
1458673,Richard,Mellein,True,,,,
2059258,Tyler,Small,True,,,,
111591,Adela,Bierich,False,,,,
1002356,Rydiana Abdul,Rahim,False,,,,
645541,Dieter,Ertl,True,,,,
1296144,Nikole,Wallum,False,,,,
220864,Alf,Blumer,True,,,,
1905617,Stephen Jules,Rubin,True,1974,Baltimore - Maryland - USA,,
1110514,Helene,Sellery,False,,,,
2281261,Istvn (II),Varga,True,,,,
67730,Luti,Angelli,True,,,,
831978,Tati,Minerato,False,,,,
5792,John,Abiskaron,True,,,,
808603,Jamie,Golding,True,,,,
149343,Marie Helle,Bro,False,,,,
820440,Eva (II),Meyer,False,,,,
1317208,Emily,Whitehouse,False,,,,
1831472,Bob,Remington,True,,,,
151839,Franklin,Bates,True,,,,
824681,Jon (I),Gottem,True,,,,
2139600,Kathleen (XIV),Sullivan,True,,,,
1236151,Yahima,Torres,False,,,,
1874732,Hector (XXXI),Rodriguez,True,,,,
1256208,Inari (II),Uusimki,False,,,,
1318245,Miranda,Whittle,False,,,,
2234168,Big Ben,Trinidad,True,,,,
351121,Jean-Franois,Casabonne,True,,,,
1278135,Sara,Vidar,False,,,,
1127893,Brian (III),Kelly,True,,,,
355747,Victor (II),Castejon,True,,,,
2084015,Richard,Sorrentino,True,,,,
227018,Edward,Bojdys,True,,,,
2092811,Anton,Spieker,True,,,,
1985659,David (XX),Scott,True,,,,
176064,Pablo (I),Benedetti,True,,,,
361908,Edinson,Cavani,True,,,,
445980,Desiree R.,Goguen,False,,,,
897324,Jenny,Noel,False,,,,
490456,Sylvie,Hammouda,False,,,,
1184624,Barrie,Kosky,True,,,,
1908958,Reo,Ruiters,True,,,,
2445918,Mike,Zapcic,True,,,,
336193,Joe,Carbray,True,,,,
376859,Julie (I),Fernandes,False,,,,
1725619,Thanos,Pettemeridis,True,,,,
454053,Roberta,Gore,False,,,,
778307,,Geoff Richer's First Edition,True,,,,
25959,Francesca,Alvares,False,,,,
1402117,Toni,Masian,True,,,,
