range1;range2;count
F: [90-105[;B: [1,000,000-5,000,000[;172
F: [75-90[;B: [10,000-50,000[;27
F: [120-135[;B: [100-500[;6
R: [1h30 - 1h45[;F: [180-190[;24
R: [1h - 1h15[;F: [45-60[;29
R: >= 4h;F: [150-165[;2
R: [3h - 4h[;F: [5-15[;5
R: [1h - 1h15[;F: [5-15[;31
R: [2h15 - 2h30[;F: [60-75[;16
F: [75-90[;B: [1,000,000-5,000,000[;115
B: < 50;G: [100,000,000-500,000,000[;0
B: [50-100[;G: [500-1,000[;0
B: < 50;G: [500,000-1,000,000[;1
F: [120-135[;B: [10,000,000-50,000,000[;125
B: [5,000,000-10,000,000[;G: [50,000-100,000[;39
R: >= 4h;F: [30-45[;1
R: [45min - 1h[;F: [60-75[;26
G: [1,000-5,000[;S: 2;4
B: [50-100[;G: [1,000,000-5,000,000[;0
B: [100-500[;G: [1,000,000-5,000,000[;1
R: [30min - 45min[;F: [45-60[;11
F: [150-165[;B: [5,000,000-10,000,000[;20
F: [105-120[;B: [5,000-10,000[;5
R: [45min - 1h[;F: [75-90[;7
B: [5,000,000-10,000,000[;G: [100-500[;0
B: [1,000,000-5,000,000[;G: [100,000-500,000[;351
R: [1h45 - 2h[;F: [90-105[;84
F: [60-75[;B: [50-100[;6
F: [45-60[;B: [100,000-500,000[;124
G: [5,000-10,000[;S: 6;104
G: [50-100[;S: 6;15
F: [165-180[;B: [10,000,000-50,000,000[;19
F: [15-30[;B: [10,000-50,000[;193
F: [135-150[;B: >= 50,000,000;58
F: [5-15[;B: [1,000-5,000[;200
R: [1h15 - 1h30[;F: [150-165[;23
G: [1,000,000-5,000,000[;S: 9;112
G: [10,000,000-50,000,000[;S: 0;0
G: [50,000,000-100,000,000[;S: 4;11
B: [100-500[;G: [50,000-100,000[;0
R: [2h - 2h15[;F: [90-105[;43
G: [500-1,000[;S: 5;17
F: [5-15[;B: [10,000-50,000[;306
F: [135-150[;B: [5,000,000-10,000,000[;20
R: [1h - 1h15[;F: [75-90[;16
B: [5,000,000-10,000,000[;G: [50-100[;0
F: [150-165[;B: [1,000,000-5,000,000[;50
R: [1h30 - 1h45[;F: [75-90[;154
B: >= 50,000,000;G: [50-100[;0
B: [5,000,000-10,000,000[;G: [10,000,000-50,000,000[;379
G: [50-100[;S: 3;0
G: [50,000,000-100,000,000[;S: 3;10
B: [500-1000[;G: [5,000,000-10,000,000[;0
F: [45-60[;B: [100-500[;17
